parentid,childid,body,category
105,2,同総裁は、貿易黒字が若干ではあるが減少しているが、2007年通年でみれば依然として高水準であることを指摘した,00000100000
286,0,新華社は11日、税関当局の数字として、2007年12月の中国の貿易黒字は226億9000万ドルとなった、と報じた,00000100000
286,2,新華社によると、2007年の中国の貿易黒字は2622億ドルで、06年の1774億7000万ドルから47.7％増加した,00000100000
324,0,新華社は11日、税関当局の数字として、2007年12月の中国の貿易黒字は226億9000万ドルとなった、と報じた,00000100000
324,2,新華社によると、2007年の中国の貿易黒字は2622億ドルで、06年の1774億7000万ドルから47.7％増加した,00000100000
426,0,財務省が午前8時50分に発表した国際収支状況速報によると、11月の経常黒字は前年比2.1％増の1兆7825億円となった,00000100000
426,3,ロイターが民間調査機関に行った事前調査では、経常黒字の予測中央値は前年比6.5％増加の1兆8605億円程度だった,00000100000
426,5,経常黒字の伸び率が鈍化したのは、貿易収支黒字が前年比で減少したため,00000100000
729,3,ロイターが民間調査機関を対象に行った調査では、貿易黒字の予測中央値は前年比15.2％減の9415億円程度の黒字で、発表数値は予想を下回った,00000100000
739,1,ロイターが民間調査機関を対象に行った調査では、貿易黒字の予測中央値は前年比15.2％減の9415億円程度だった,00000100000
753,6,財務省が発表した12月貿易収支（速報、原数値）によると、輸出は前年比6.9％増輸入は同12.1％増、貿易黒字は同20.9％減の8779億円となった,00000100000
804,4,リポートによると、2008年の貿易黒字は過去最高となった07年の2622億ドルから3320億ドルに増加する見通し,00000100000
972,6,ただ、貿易黒字の削減は進んでいない,00000100000
1314,6,外国が米国に投資すること自体に問題があるとは思わないが、米政府は外国産原油への依存度を低下させるようなエネルギー政策を策定することなどにより、「国際収支を改善」する必要があると述べた,00000100000
1456,0,財務省が午前8時50分に発表した国際収支状況速報によると、12月の経常黒字は前年比4.7％減の1兆6972億円となり、12カ月ぶりの減少となった,00000100000
1456,1,ロイターが民間調査機関に行った事前調査では、経常黒字の予測中央値は前年比3.6％減の1兆7175億円程度だった,00000100000
1456,7,同時に発表された2007年の経常黒字は前年比26.0％増加の25兆0012億円となり、現行統計に移行した1985年以降では過去最高となった,00000100000
1456,8,貿易黒字はプラス30.8％と、3年ぶりに拡大した,00000100000
1539,2,12月の貿易赤字は11月から6.9％縮小し、前月比では1年超ぶりの縮小率となった,00000100000
1652,14,コアパシフィックヤマイチ（香港）のエコノミスト、モールハウ氏は「人民元CNY=CFXSの上昇加速は、国際収支の黒字を背景とした資金流入がもたらした流動性を吸収する手段,00000100010
1728,0,財務省が21日午前8時50分に発表した1月貿易統計速報によると、貿易収支は793億円の赤字となった,00000100000
1728,2,ロイターが民間調査機関を対象に行った調査では、貿易収支の予測中央値は350億円程度の黒字だった,00000100000
1728,5,季節調整後の貿易収支は8619億円の黒字で、前月比39.6％の増加だった,00000100000
1741,4,1月の貿易収支は輸入額が輸出額を上回り、793億円の赤字となった,00000100000
1741,6,季節調整後の貿易収支は8619億円の黒字で、前月比39.6％の増加だった,00000100000
1791,2,その一方、中国企業はこれまでのところ為替相場の変動に予想以上にうまく対応しているとしたうえで、中国の国際収支や国内経済のバランスを改善させるために人民元の役割を拡大すべきだ、との考えを示した,00000100000
1791,7,エコノミストらは、中国の貿易黒字が削減され資金流入が抑制されるとして、人民元の上昇加速を総じて歓迎している,00000100010
1796,9,「米国の経常赤字とアジア諸国や産油国の経常黒字という不均衡が、膨大な規模のグローバルな資本フローが潤沢に流れることで埋めているのが現在の状況」と指摘,00000100000
2175,4,また貿易黒字は依然として過剰だ」と指摘した,00000100000
2288,0,中国の税関当局によると、2月の貿易黒字は85億6000万ドルで、前月の195億ドル、前年同月の238億ドルから大幅に減少した,00000100000
2288,5,過去12カ月の貿易黒字は2506億ドルで、1月の2655億ドル、2007年の2622億ドルから減少した,00000100000
2345,2,12月の貿易赤字は579億ドルと、588億ドルから下方修正された,00000100000
2359,0,財務省が午前8時50分に発表した国際収支状況速報によると、1月の経常黒字は前年比8.1％増の1兆2358億円となり、2カ月ぶりの増加となった,00000100000
2359,1,ロイターが民間調査機関に行った事前調査では、経常黒字の予測中央値は前年比9.5％増の1兆2500億円程度だった,00000100000
2747,10,政策協調の考え方については「一国の中央銀行が責任を持って対処すべきは、国内の物価安定の下での持続的な経済成長だ」と原則論を述べた上で「例えば、ある為替レートを固定的に維持していくだとか、あるいは経常収支の黒字額を減らしていくだとか、そういう風に物価安定のもとでの成長以外の目的を外から入れ込むと長い目で見て必ず経済が不安定になっていく」と説明した,00000100000
2765,3,ロイターが民間調査機関を対象に行った調査では、貿易収支の予測中央値は1兆1464億円程度の黒字で、発表数値は予想を下回った,00000100000
2771,1,ロイターが民間調査機関を対象に行った調査では、貿易収支の予測中央値は1兆1464億円程度の黒字で、発表数値は予想を下回った,00000100000
2776,1,ロイターが民間調査機関を対象に行った調査では、貿易収支の予測中央値は1兆1464億円程度の黒字で、発表数値は予想を下回った,00000100000
2776,2,対中国の貿易収支は13億円の黒字となり、2007年3月以来11カ月ぶりの黒字となった,00000100000
2776,21,対中国の貿易収支は13億円の黒字となり、07年3月以来の黒字となった,00000100000
2801,2,（英国の）経常収支の赤字額を考慮すると、個人的に同じ見解だ」と述べた,00000100000
2801,4,2007年末にかけて多額の貿易赤字を計上したが、これは英経済を輸出設備投資主導に移行させる必要性を浮き彫りにしたと述べた,00000100000
3227,0,財務省が10日午前8時50分に発表した国際収支状況速報によると、2月の経常黒字は前年比2.9％増の2兆4677億円となり、2カ月連続の増加となった,00000100000
3227,1,ロイターが民間調査機関に行った事前調査では、経常黒字の予測中央値は前年比3.0％増の2兆4700億円程度だった,00000100000
3258,6,財務省が10日に発表した国際収支状況速報によると、2月の経常黒字は前年比2.9％増の2兆4677億円となり、2カ月連続の増加となった,00000100000
3406,1,買い越し額は2月の貿易赤字（623億ドル）を上回り、クレジット危機と経済低迷で海外からの投資が鈍ることを懸念する見方が一部後退した,00000100000
3546,3,同社エコノミックポリティカルストラテジーグループのワイマン氏によると、アジアの経常黒字の急拡大や、国際商品価格の急騰による中東など資源国の資産拡大を背景に、SWFの運用資産は急速に膨らんでいる,00000100000
3630,3,ロイターが民間調査機関を対象に行った調査では、貿易収支の予測中央値は1兆4000億円程度の黒字で、発表数値は予想を下回った,00000100000
3636,2,ロイターが民間調査機関を対象に行った調査では、貿易収支の予測中央値は1兆4000億円程度の黒字で、発表された数値は予想を下回った,00000100000
3650,0,財務省が23日に発表した3月の貿易黒字は、前年比30.2％減と市場の事前予想12.6％減を大きく下回り、米国経済減速を主因とした輸出の鈍化傾向が、他地域に広がりつつある実態が鮮明になった,00000100000
3750,2,篠原財務官は、年初からの為替相場の動向について、ドル安がクローズアップされているが対ドルにおいて、ユーロや円、スイスフランなどは上昇する一方、アイスランドクローナや韓国ウォンなど主に経常収支の赤字国は下落しており「通貨の選別が行われている」と指摘,00000100000
3926,4,アナリストは、石炭と鉄鉱石の価格上昇により、同国の輸出所得が1年で約450億豪ドル増加し、貿易赤字を事実上相殺する可能性があるとみている,00000100000
4081,10,三菱東京UFJ銀行市場業務部チーフアナリスト、高島修氏は「非常に粗い計算になる」と前置きした上で、非課税化が実現した際の資金還流額を、日本の貿易黒字の4分の1にあたる5兆円規模と予想する,00000100000
4084,7,UBSセキュリティーズのエコノミスト、ジェームズオサリバン氏は「貿易赤字の（減少）基調は、国内需要の鈍化による輸入の減少を反映している」と指摘,00000100000
4084,8,予想を上回る貿易赤字の縮小により、第1四半期の国内総生産（GDP）がわずかに上方修正される可能性があるとの見方を示した,10000100000
4120,3,ロイターがまとめたエコノミストの予想は、貿易黒字が148億ドル,00000100000
